# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
 52  26  -0.03366016
 52  31   0.03935444
 52  34  -0.01073401
 52  36   0.04321337
 52  39  -0.00846800
 53  10  -0.01529540
 53  15   0.00541536
 53  25  -0.01908313
 53  30   0.00251348
 53  33   0.01277408
 53  38  -0.00424500
 53  41  -0.00520843
 54  11   0.06417071
 54  16   0.01599713
 54  19   0.01141340
 54  26   0.02839700
 54  31  -0.00574539
 54  34   0.03446864
 54  36  -0.03005099
 54  39   0.01375548
 55   9   0.01399927
 55  29   0.02284865
 55  40   0.01568234

Jf nJf  Ji nJi  Lambda =   0 2      0 2      0
-------------- OBTD ---------------------
  3   0   0.22185212
  4   1   0.33000177
  5   2   0.14750695

-------------- TBTD ---------------------
  9   0  -0.04582581
  9  21  -0.10680402
  9  35  -0.07711505
 10   3  -0.04071315
 10  23   0.00973810
 11   1   0.30126310
 11   4   0.06563683
 11   7  -0.00820215
 11  22   0.08879194
 11  24  -0.07447125
 12   5  -0.00259007
 12   8  -0.02952256
 13   2   0.24101261
 13   6  -0.03020690
 15   3   0.29041128
 15  23  -0.02747001
 16   1   0.06731374
 16   4   0.21633328
 16   7   0.14783667
 16  22   0.07069321
 16  24  -0.03792244
 17   5   0.13124336
 17   8  -0.07041510
 18   2  -0.01861118
 18   6   0.31345840
 19   1  -0.00863597
 19   4   0.15043611
 19   7   0.17112745
 19  22   0.08725291
 19  24  -0.03192312
 20   5  -0.07266587
 20   8   0.15561792
 25   3   0.00868876
 25  23   0.01093003
 26   1  -0.02045878
 26   4  -0.05352745
 26   7  -0.03123904
 26  22  -0.00096695
 26  24  -0.00691780
 27   5   0.05429626
 27   8  -0.02208509
 28   2   0.01711805
 28   6  -0.06194849
 29   0  -0.11089607
 29  21   0.15255631
 29  35   0.06029010
 30   3   0.04017953
 30  23  -0.01305143
 31   1   0.09051563
 31   4   0.05188199
 31   7   0.05112726
 31  22   0.14879499
 31  24  -0.08862192
 32   5  -0.02421743
 32   8  -0.02013085
 33   3  -0.05947400
 33  23   0.02108901
 34   1  -0.05566772
 34   4   0.04679847
 34   7   0.05011972
 34  22  -0.04631017
 34  24   0.06229790
 36   1  -0.00233270
 36   4   0.03414927
 36   7   0.06342582
 36  22  -0.01396770
 36  24   0.04392982
 37   5   0.02248227
 37   8  -0.07584149
 38   3   0.04060054
 38  23   0.04127076
 39   1   0.05675769
 39   4   0.08001859
 39   7   0.04132031
 39  22   0.07798279
 39  24  -0.11980890
 40   0  -0.07999582
 40  21   0.06195382
 40  35   0.05149376
 41   3  -0.09804812
 41  23   0.00788400
 42   9  -0.00939506
 42  29  -0.08825894
 42  40  -0.07306030
 43  11   0.16222049
 43  16  -0.00268403
 43  19  -0.00569249
 43  26  -0.05128980
 43  31   0.00190660
 43  34   0.00679572
 43  36  -0.01243545
 43  39  -0.01838688
 44  13   0.22975675
 44  18  -0.01135249
 44  28   0.01540019
 45  10   0.03750594
 45  15   0.00966719
 45  25   0.28456755
 45  30  -0.04028555
 45  33   0.04251844
 45  38  -0.05601731
 45  41   0.09560060
 46  11   0.03048966
 46  16   0.02904929
 46  19  -0.00450487
 46  26  -0.19055946
 46  31   0.04670725
 46  34  -0.09098434
 46  36   0.10647416
 46  39  -0.03664497
 47  12   0.00413056
 47  17   0.06640310
 47  20  -0.01243658
 47  27   0.14627338
 47  32   0.02617256
 47  37   0.06256428
 48  13  -0.01674618
 48  18   0.04422122
 48  28  -0.29723322
 49  11  -0.01009099
 49  16  -0.00588657
 49  19   0.03637386
 49  26  -0.11549969
 49  31   0.05442961
 49  34  -0.07784439
 49  36   0.13917440
 49  39  -0.01571206
 50  12   0.02338436
 50  17  -0.01106609
 50  20   0.08611489
 50  27  -0.06647515
 50  32   0.02188146
 50  37  -0.16598379
 51   9  -0.08223433
 51  29  -0.03530782
 51  40  -0.02640928
 52  11   0.00319074
 52  16  -0.00031976
 52  19  -0.01125663
 52  26  -0.06867316
 52  31   0.07218387
 52  34  -0.02816860
 52  36   0.08431835
 52  39  -0.00759175
 53  10  -0.00929154
 53  15   0.01133359
 53  25  -0.02684278
 53  30   0.01396615
 53  33   0.04040908
 53  38   0.01686530
 53  41  -0.00764910
 54  11   0.01377542
 54  16  -0.00603437
 54  19   0.00794352
 54  26   0.04877824
 54  31  -0.01558151
